product_id,seller_id,price_band,items,gmv,avg_price,avg_review,freight_ratio,months_active,velocity,score
42a2c92a0979a949ca4ea89ec5c7b934,813348c996469b40f2e028d5429d3495,中高价带(50-100),177,10511.7,59.39,3.94,0.311,12,14.75,0.8447
4aa6014eceb682077f9dc4bffebc05b0,b8bc237ba3788b23da09c0f1f3a3288c,高价带(100+),47,13685.71,291.19,4.28,0.142,11,4.273,0.7725
928e52a9ad53a294fdcc91bcf59d1751,955fee9216a65b617aa5c0531780ce60,高价带(100+),59,7970.0,135.08,3.54,0.141,5,11.8,0.7086
d696750e550fd0f733979dd7e5dff921,9de4643a8dbde634fe55621059d92273,高价带(100+),57,9857.86,172.94,4.53,0.121,14,4.071,0.6873
f8b624d4e475bb8d1bddf1b65c6a64f6,b410bdd36d5db7a65dcd42b7ead933b8,高价带(100+),40,7160.0,179.0,4.85,0.127,8,5.0,0.654
e9a69340883a438c3f91739d14d3a56d,1b4c3a6f53068f0b6944d2d005c9fc89,高价带(100+),56,9326.61,166.55,4.07,0.183,17,3.294,0.6301
30ac6df06dc59ad72cf2f158fc2d904c,0dd184061fb0eaa7ca37932c68ab91c5,高价带(100+),42,5040.0,120.0,3.79,0.207,4,10.5,0.6254
7c55ea4aea1acf1ce11440010f5aa298,955fee9216a65b617aa5c0531780ce60,高价带(100+),18,7308.0,406.0,4.33,0.077,4,4.5,0.618
dbb4ce89c8ed5fb6fd901e2e51093179,91f848e9f4be368f4318775aac733370,中高价带(50-100),41,3538.96,86.32,4.34,0.207,4,10.25,0.6171
5a6e53c3b4e8684b13388d6aa4afdf12,7299e27ed73d2ad986de7f7c77d919fa,低价带(<25),73,1190.27,16.31,4.16,0.938,5,14.6,0.6016
489ae2aa008f021502940f251d4cce7f,e3b4998c7a498169dc7bce44e6bb6277,高价带(100+),1,6735.0,6735.0,5.0,0.029,1,1.0,0.5866
6c09be1fc42a113b2f3e558d7df2f133,671585f5a2af58b6e276bc01003c0d2b,中价带(25-50),12,540.0,45.0,4.58,0.348,1,12.0,0.5817
bdb4be6ce2f7f2b5be0a16088028c7fc,955fee9216a65b617aa5c0531780ce60,中高价带(50-100),40,3400.0,85.0,4.55,0.208,6,6.667,0.5654
4b96786612ebe7463132fce2c4dca136,d94a40fd42351c259927028d163af842,高价带(100+),44,5676.0,129.0,4.23,0.219,11,4.0,0.5579
a3cd9517ebf5a50dca25acce54f3b171,6fa9202c10491e472dffd59a3e82b2a3,高价带(100+),3,7014.24,2338.08,4.33,0.132,2,1.5,0.5578
8f211599d0cde9d8551a6984d758e1f4,33dd941c27854f7625b968cc6195a552,高价带(100+),5,6787.5,1357.5,4.4,0.056,4,1.25,0.5541
8a8d870b168dfa470a5f28efab92145d,ed4311e67debd72b8610a5347a743087,高价带(100+),6,894.0,149.0,5.0,0.145,1,6.0,0.5197
f3ce47ccf98da2906f6b8b1387618e07,7dc8c42cc750eeafea6c85712ffee9bf,高价带(100+),16,1973.92,123.37,4.69,0.229,3,5.333,0.5144
485c67ced40028609fbe77043fa0b943,ca3bd7cd9f149df75950150d010fe4a2,中高价带(50-100),6,450.0,75.0,5.0,0.118,1,6.0,0.509
3003a2841d6a775095317139ed2f7943,240b9776d844d37535668549a396af32,中高价带(50-100),6,389.4,64.9,5.0,0.244,1,6.0,0.5043
a7216be504e1ff211b67479ab193a552,a2e874074c877c5a05abae80ad6e488f,中高价带(50-100),12,838.8,69.9,4.75,0.302,2,6.0,0.4987
fbd4031ddbc3d02b95834b62769d3ad0,ce7d1888639e6fb06b2749cbfdac1ff7,高价带(100+),24,3276.0,136.5,4.71,0.254,11,2.182,0.4945
31a89a7044c5b133cf646404a4e86022,955fee9216a65b617aa5c0531780ce60,高价带(100+),18,2700.0,150.0,3.0,0.143,2,9.0,0.4921
cc7e60cc41c667212b37102362120438,f0837c8d71434931d9e38e7b79234797,高价带(100+),2,2300.0,1150.0,5.0,0.049,1,2.0,0.4897
6a1234a3847f4ef3090a02a8b07fa42f,f0b47fbbc6dee9aafe415a6e33051b3f,中价带(25-50),6,173.94,28.99,5.0,0.659,1,6.0,0.4883
a03e401d58a45187271718c5d7610422,4bfc7a4a1cf8d4d2121c27422d9e50b5,高价带(100+),11,3380.0,307.27,4.36,0.131,4,2.75,0.4881
30ac6df06dc59ad72cf2f158fc2d904c,0dd184061fb0eaa7ca37932c68ab91c5,中高价带(50-100),13,1222.0,94.0,4.23,0.212,2,6.5,0.4868
f7a17d2c51d9df89a4f1711c4ac17f33,f8db351d8c4c4c22c6835c19a46f01b0,中高价带(50-100),46,2441.4,53.07,4.54,0.23,13,3.538,0.4863
7b453aa3584d61c1268d77ba6fd5956b,e26901d5ab434ce92fd9b5c256820a4e,高价带(100+),19,2088.1,109.9,4.32,0.146,4,4.75,0.4863
ecf9484703bdfb9cfcc1ac9c2084b567,59b22a78efb79a4797979612b885db36,高价带(100+),18,4770.0,265.0,3.67,0.195,6,3.0,0.4832
59f09deeea7c839a9212a19f3416b892,729f06993dac8e860d4f02d7088ca48a,高价带(100+),16,5998.4,374.9,3.56,0.226,11,1.455,0.4806
c44343d9d6d3551e161f3c72bfcbfc3b,17ca9b9e9b9ef8fdb529001b49ebb50f,高价带(100+),11,1649.67,149.97,4.64,0.121,3,3.667,0.4773
cfce05163d94540468fd6c92c62fa5db,b347677812ea483b0f528eaf8cbc09b7,高价带(100+),7,3073.0,439.0,4.57,0.104,4,1.75,0.477
cbb19a48b2e1af46505ef400e9245c48,98dac6635aee4995d501a3972e047414,低价带(<25),5,99.5,19.9,5.0,0.391,1,5.0,0.4761
a94db861b4ea1c79704586f07c8cdbc3,32b8764b4ef628b53608fc34011fcc13,高价带(100+),3,1047.0,349.0,5.0,0.058,1,3.0,0.4745
7a5d0e89d069c89b2112e9da539343c2,688756f717c462a206ad854c5027a64a,高价带(100+),10,1189.95,119.0,4.4,0.187,2,5.0,0.4716
8b50a72d52d7a91fb19d19fbe069e2f2,9f505651f4a6abe901a56cdc21508025,中价带(25-50),34,1579.66,46.46,4.06,0.261,6,5.667,0.4698
53f92b0474f91fcb5bd188c6a8075c38,05feb94f19d094d4b0f9281f0b1d4c99,高价带(100+),2,2626.0,1313.0,5.0,0.102,5,0.4,0.4694
bcbd68571e8cf6d290a72a280b6b3b91,98dac6635aee4995d501a3972e047414,低价带(<25),5,57.9,11.58,5.0,0.638,1,5.0,0.4688
30674190b5af4d3b447868dff7f6ac61,5c030029b5916fed0986310385ec9009,高价带(100+),3,780.0,260.0,5.0,0.074,1,3.0,0.4673
9fd2d186bbd4017f2d86295f69334cfc,5c030029b5916fed0986310385ec9009,高价带(100+),3,777.0,259.0,5.0,0.209,1,3.0,0.4638
8f40f0b0018b8f6fd449c4c0713e3118,9de4643a8dbde634fe55621059d92273,高价带(100+),5,2672.86,534.57,4.8,0.046,9,0.556,0.4622
7506dc43a0aaa509475b7522abfdee9f,cac876b37d3abcd6bd76caca30277996,低价带(<25),5,119.5,23.9,5.0,0.974,1,5.0,0.4619
fdff6fbfaeefd11afe77be6f416e9c4e,98dac6635aee4995d501a3972e047414,低价带(<25),6,35.4,5.9,5.0,1.583,1,6.0,0.4615
af893b2efa430418d774a852e7870601,8a432f4e5b471f8da497d7dc517666e2,中高价带(50-100),5,355.0,71.0,4.6,0.255,1,5.0,0.461
2a9b9ab4785e67b8ff4f1e6fcba1de7e,ddd51ae8cda92f3995a51fc0f0f3eec7,中价带(25-50),4,159.6,39.9,5.0,0.39,1,4.0,0.4605
64711ecc1a5700b2ca5fca7eafab7f3e,397c4d0c005b6f41f90098ac724e28cb,高价带(100+),1,1799.0,1799.0,5.0,0.023,1,1.0,0.4605
b05ec8d9cabec69e637318ebba813a09,cc63f0dd2acba93ffed4fe9f8e0321fa,高价带(100+),11,1385.89,125.99,4.0,0.171,2,5.5,0.4605
f7b39dca4a425dcfd4a8b0b0aac4b7c0,2a7dc43cecabf23403078e2188437d1d,中高价带(50-100),11,658.9,59.9,4.82,0.231,3,3.667,0.4604
29b18b99ca3c94cea05efa9e11465440,aced59e9b31ef866a94f9e7f29d8d418,高价带(100+),7,2055.0,293.57,4.86,0.056,6,1.167,0.4603
16ed6a6e3fce23b741650437fe58d65b,e5a38146df062edaf55c38afa99e42dc,中高价带(50-100),31,2798.58,90.28,4.39,0.135,18,1.722,0.4575
b9aad83bfbc546d2e4e7a7fa8e15bc9c,99a54764c341d5dc80b4a8fac4eba3fb,低价带(<25),4,79.6,19.9,5.0,0.447,1,4.0,0.4571
08c63555bbee955cad9c6a9feab9e9d4,117cfc326c6d50da67ca858ff5c0c852,中高价带(50-100),4,379.6,94.9,4.75,0.167,1,4.0,0.4562
cb0fe29b88df5b43cb3d434b6b0e8db4,c1f12f926d0ba950578b4fa41115cbb6,高价带(100+),3,389.7,129.9,5.0,0.161,1,3.0,0.4551
f32ccb00285b3be848ab904c4c0d1980,4bfc7a4a1cf8d4d2121c27422d9e50b5,高价带(100+),2,980.0,490.0,5.0,0.088,1,2.0,0.455
c956bde83b283fe27c438080dcb246c5,69b5eaa096c3f9d1e5c398c597f567d6,高价带(100+),2,938.0,469.0,5.0,0.052,1,2.0,0.4548
30048c2138eb22aebd13d31c07ba226b,c68fb906c8f4b4b946d8386bfa6e5467,高价带(100+),3,341.64,113.88,5.0,0.192,1,3.0,0.4531
